title,text,article_url,image
Dating While Trans: A Love Story,Because trans folks don’t just deserve safety. We deserve love too.,https://youthradio.org/journalism/outloud/dating-while-trans-a-love-story/,love.png
What It Really Means To Be Gender-Fluid,Here’s the thing: gender fluidity is NOT a fashion statement or a trend.,https://youthradio.org/journalism/outloud/what-it-really-means-to-be-gender-fluid/,genderfluid.jpg
Understanding Singular “They”,"When I tell someone my preferred pronouns are they/them/their, I never know what to expect.",https://youthradio.org/journalism/outloud/understanding-singular-they,desmond.jpg
Seeing Like A Butterfly: Beyond The Gender Binary,"Even the strongest LGBTQQIA advocates I know, struggle with the T part. Trans-gender.",https://youthradio.org/journalism/education/seeing-like-a-butterfly-beyond-the-gender-binary/,beyond.jpg
"Trans Teen Longs For True Pride
","When I attended the Pride parade for the first time this week, I was longing to feel a deep sense of community, but I actually felt more like a spectator looking in.",https://youthradio.org/journalism/outloud/trans-teen-longs-for-true-pride/,pride.jpg
Searching for a Gender Identity,"I was always confused kid. When I wasn’t questioning my sexuality, I was questioning my gender.",https://youthradio.org/journalism/outloud/searching-for-a-gender-identity/,searching.jpg
"Queer Students Open Up About Politics, Gender, Bathrooms","LGBTQ high school students in Denver, Colorado to reflect on Trump’s decision to no longer require schools to allow transgender students to use bathrooms that match their gender identity.",https://youthradio.org/journalism/health/queer-students-react-to-trumps-trans-bathroom-decision/,bathroom.jpg
Trans YouTubers Say They Are Being Censored. Is It The Algorithm?,"LGBTQ YouTubers have recently been posting screenshots on social media of their videos getting demonetized or put in restricted mode, ultimately controlling what their followers can watch.",https://youthradio.org/journalism/outloud/trans-youtubers-say-they-are-being-censored-and-an-algorithm-may-be-to-blame/,youtube.jpg
Teens are Queering Up Prom,"Trans folks are winning prom queen, and prom kings are wearing dresses.",https://youthradio.org/journalism/outloud/teens-are-queering-up-prom/,Klaine_prom_gif.gif